"bin_extents","bin_values"
-91.291,2
-89.261,1
-87.231,4
-85.202,0
-83.172,0
-81.142,3
-79.112,2
-77.082,9
-75.053,10
-73.023,21
-70.993,19
-68.963,19
-66.933,30
-64.904,37
-62.874,45
-60.844,51
-58.814,56
-56.784,69
-54.755,118
-52.725,111
-50.695,146
-48.665,163
-46.636,199
-44.606,246
-42.576,359
-40.546,469
-38.516,641
-36.487,822
-34.457,1044
-32.427,1399
-30.397,1782
-28.367,2485
-26.338,3159
-24.308,4296
-22.278,5952
-20.248,7965
-18.219,11047
-16.189,15504
-14.159,22110
-12.129,31770
-10.099,48047
-8.0696,73792
-6.0398,118137
-4.01,188421
-1.9803,277000
0.049534,327673
2.0793,289451
4.1091,203762
6.1389,132897
8.1687,87770
10.198,58564
12.228,38674
14.258,26597
16.288,18421
18.318,12860
20.347,9026
22.377,6325
24.407,4507
26.437,3410
28.467,2539
30.496,1826
32.526,1441
34.556,1093
36.586,833
38.615,678
40.645,499
42.675,425
44.705,326
46.735,227
48.764,178
50.794,140
52.824,105
54.854,104
56.884,68
58.913,66
60.943,48
62.973,50
65.003,28
67.033,31
69.062,25
71.092,21
73.122,18
75.152,15
77.181,10
79.211,18
81.241,6
83.271,12
85.301,6
87.33,11
89.36,4
91.39,6
93.42,1
95.45,7
97.479,3
99.509,6
101.54,1
103.57,4
105.6,0
107.63,3
109.66,2
