"bin_extents","bin_values"
-89.416,1
-87.425,0
-85.435,2
-83.444,4
-81.454,5
-79.463,4
-77.472,4
-75.482,11
-73.491,14
-71.501,19
-69.51,18
-67.52,23
-65.529,21
-63.538,41
-61.548,53
-59.557,74
-57.567,70
-55.576,103
-53.586,121
-51.595,156
-49.604,179
-47.614,221
-45.623,255
-43.633,302
-41.642,432
-39.652,601
-37.661,783
-35.67,938
-33.68,1260
-31.689,1637
-29.699,2016
-27.708,2853
-25.718,3667
-23.727,4838
-21.737,6501
-19.746,8955
-17.755,12356
-15.765,17065
-13.774,23564
-11.784,33910
-9.7931,51025
-7.8025,77427
-5.812,121470
-3.8214,191574
-1.8308,275870
0.15974,320591
2.1503,278743
4.1409,196667
6.1314,130327
8.122,86565
10.113,58591
12.103,39575
14.094,26997
16.084,19232
18.075,13538
20.065,9605
22.056,6634
24.047,4949
26.037,3617
28.028,2798
30.018,2105
32.009,1604
33.999,1185
35.99,961
37.981,753
39.971,606
41.962,509
43.952,371
45.943,264
47.933,215
49.924,160
51.915,153
53.905,119
55.896,86
57.886,63
59.877,58
61.867,43
63.858,36
65.848,31
67.839,21
69.83,26
71.82,24
73.811,12
75.801,13
77.792,14
79.782,11
81.773,10
83.764,3
85.754,8
87.745,8
89.735,9
91.726,3
93.716,5
95.707,4
97.698,4
99.688,4
101.68,3
103.67,3
105.66,2
107.65,2
