"bin_extents","bin_values"
-69.696,2
-68.567,1
-67.438,1
-66.309,1
-65.18,1
-64.051,3
-62.922,3
-61.793,1
-60.664,3
-59.535,8
-58.406,5
-57.277,0
-56.148,2
-55.019,5
-53.89,4
-52.761,10
-51.632,3
-50.503,7
-49.374,8
-48.245,13
-47.116,13
-45.987,7
-44.858,14
-43.729,27
-42.6,21
-41.471,28
-40.342,24
-39.213,35
-38.084,46
-36.955,53
-35.826,71
-34.697,69
-33.568,87
-32.439,121
-31.31,142
-30.181,186
-29.052,220
-27.923,286
-26.794,397
-25.665,497
-24.536,609
-23.407,827
-22.278,1010
-21.15,1375
-20.021,1774
-18.892,2346
-17.763,3112
-16.634,3893
-15.505,5211
-14.376,6831
-13.247,9095
-12.118,11735
-10.989,15443
-9.8598,20927
-8.7308,27796
-7.6018,37852
-6.4728,51128
-5.3438,67176
-4.2149,90176
-3.0859,119219
-1.9569,153037
-0.82794,185879
0.30104,212752
1.43,218876
2.559,201580
3.688,166448
4.8169,128111
5.9459,93789
7.0749,65650
8.2039,44817
9.3329,30536
10.462,20397
11.591,14118
12.72,9758
13.849,6684
14.978,4549
16.107,3324
17.236,2345
18.365,1638
19.494,1195
20.623,854
21.752,542
22.881,426
24.01,321
25.139,212
26.268,200
27.396,124
28.525,94
29.654,58
30.783,41
31.912,23
33.041,14
34.17,7
35.299,9
36.428,6
37.557,3
38.686,1
39.815,1
40.944,2
42.073,2
