"bin_extents","bin_values"
0.032627,12
0.059225,54
0.085823,136
0.11242,209
0.13902,282
0.16562,390
0.19221,569
0.21881,836
0.24541,979
0.27201,1116
0.29861,1424
0.3252,1713
0.3518,1923
0.3784,2109
0.405,2475
0.43159,2963
0.45819,3361
0.48479,4104
0.51139,4555
0.53799,5433
0.56458,6238
0.59118,6820
0.61778,7738
0.64438,8897
0.67098,9771
0.69757,10723
0.72417,11703
0.75077,12762
0.77737,13875
0.80396,14184
0.83056,15013
0.85716,15534
0.88376,15952
0.91036,16480
0.93695,17321
0.96355,18776
0.99015,19823
1.0167,20317
1.0433,20998
1.0699,21836
1.0965,23207
1.1231,25288
1.1497,27188
1.1763,28919
1.2029,31854
1.2295,34289
1.2561,36774
1.2827,39061
1.3093,41752
1.3359,43610
1.3625,46384
1.3891,49886
1.4157,53317
1.4423,56979
1.4689,61078
1.4955,64323
1.5221,67343
1.5487,68825
1.5753,69084
1.6019,69131
1.6285,68510
1.6551,66744
1.6817,63007
1.7083,58850
1.7349,57001
1.7615,55234
1.7881,53598
1.8147,51035
1.8413,46702
1.8679,42977
1.8945,39861
1.9211,35941
1.9477,31984
1.9743,27950
2.0009,23487
2.0275,20079
2.0541,17543
2.0807,14575
2.1073,12336
2.1339,9891
2.1605,8381
2.1871,7168
2.2137,5470
2.2402,4348
2.2668,3375
2.2934,2748
2.32,2289
2.3466,1913
2.3732,1558
2.3998,1171
2.4264,1025
2.453,785
2.4796,616
2.5062,458
2.5328,340
2.5594,233
2.586,135
2.6126,81
2.6392,47
2.6658,10
