"bin_extents","bin_values"
0.031072,8
0.057205,35
0.083337,124
0.10947,198
0.1356,323
0.16173,468
0.18787,703
0.214,835
0.24013,943
0.26626,1073
0.2924,1260
0.31853,1442
0.34466,1762
0.37079,1900
0.39693,2211
0.42306,2476
0.44919,2998
0.47532,3586
0.50146,4285
0.52759,4880
0.55372,5544
0.57985,5981
0.60598,6815
0.63212,7600
0.65825,8687
0.68438,9667
0.71051,10602
0.73665,11179
0.76278,11869
0.78891,12757
0.81504,13451
0.84118,14140
0.86731,14280
0.89344,14860
0.91957,15469
0.94571,16284
0.97184,16622
0.99797,17547
1.0241,18251
1.0502,19089
1.0764,20015
1.1025,21334
1.1286,22606
1.1548,24696
1.1809,27044
1.207,29530
1.2332,31881
1.2593,33471
1.2854,35687
1.3116,37894
1.3377,40827
1.3638,44445
1.39,48703
1.4161,53898
1.4422,58020
1.4684,62455
1.4945,65280
1.5206,69177
1.5468,70427
1.5729,70656
1.599,69457
1.6251,68771
1.6513,66896
1.6774,63704
1.7035,61866
1.7297,60635
1.7558,59283
1.7819,56718
1.8081,52118
1.8342,49177
1.8603,45963
1.8865,42192
1.9126,37781
1.9387,33870
1.9649,28797
1.991,24614
2.0171,20974
2.0433,18549
2.0694,15709
2.0955,12972
2.1217,11121
2.1478,9509
2.1739,8216
2.2001,6417
2.2262,4949
2.2523,3882
2.2785,2979
2.3046,2389
2.3307,1805
2.3569,1408
2.383,1060
2.4091,814
2.4353,640
2.4614,549
2.4875,447
2.5136,299
2.5398,206
2.5659,118
2.592,44
2.6182,4
