"bin_extents","bin_values"
-75.136,5
-73.344,8
-71.552,10
-69.759,13
-67.967,7
-66.174,17
-64.382,16
-62.589,20
-60.797,26
-59.004,35
-57.212,28
-55.42,64
-53.627,73
-51.835,66
-50.042,88
-48.25,116
-46.457,145
-44.665,170
-42.872,216
-41.08,293
-39.287,348
-37.495,499
-35.703,631
-33.91,822
-32.118,940
-30.325,1261
-28.533,1599
-26.74,2116
-24.948,2924
-23.155,3785
-21.363,5042
-19.57,6751
-17.778,9153
-15.986,12652
-14.193,17821
-12.401,25149
-10.608,36625
-8.8158,54831
-7.0233,83462
-5.2309,126438
-3.4384,189334
-1.646,260448
0.14647,293995
1.9389,266969
3.7314,197306
5.5238,135313
7.3163,93174
9.1087,63910
10.901,43323
12.694,30133
14.486,21395
16.279,15648
18.071,10984
19.863,8061
21.656,5818
23.448,4333
25.241,3211
27.033,2365
28.826,1888
30.618,1381
32.411,1055
34.203,772
35.995,624
37.788,498
39.58,380
41.373,312
43.165,271
44.958,218
46.75,150
48.543,159
50.335,106
52.128,112
53.92,80
55.712,68
57.505,50
59.297,43
61.09,40
62.882,29
64.675,28
66.467,18
68.26,16
70.052,14
71.845,18
73.637,9
75.429,9
77.222,7
79.014,6
80.807,6
82.599,10
84.392,3
86.184,2
87.977,7
89.769,4
91.561,2
93.354,0
95.146,0
96.939,1
98.731,0
100.52,0
102.32,2
