"bin_extents","bin_values"
-61.306,2
-60.214,2
-59.123,0
-58.032,3
-56.94,5
-55.849,8
-54.757,2
-53.666,9
-52.574,3
-51.483,16
-50.391,7
-49.3,11
-48.209,19
-47.117,27
-46.026,25
-44.934,26
-43.843,22
-42.751,32
-41.66,60
-40.568,47
-39.477,54
-38.386,80
-37.294,86
-36.203,112
-35.111,153
-34.02,195
-32.928,208
-31.837,285
-30.745,347
-29.654,406
-28.562,473
-27.471,621
-26.38,651
-25.288,930
-24.197,1113
-23.105,1319
-22.014,1635
-20.922,2163
-19.831,2577
-18.739,3380
-17.648,4070
-16.557,4981
-15.465,6240
-14.374,8211
-13.282,10037
-12.191,13128
-11.099,16808
-10.008,22258
-8.9164,28665
-7.8249,37237
-6.7335,47619
-5.642,61246
-4.5506,79186
-3.4592,102961
-2.3677,129223
-1.2763,155430
-0.18481,178681
0.90664,193881
1.9981,192760
3.0895,172101
4.181,144380
5.2724,112184
6.3639,82996
7.4553,61658
8.5468,44429
9.6382,31906
10.73,23378
11.821,16958
12.913,12527
14.004,9235
15.095,6842
16.187,5075
17.278,3827
18.37,2950
19.461,2100
20.553,1578
21.644,1152
22.736,865
23.827,659
24.919,449
26.01,376
27.101,290
28.193,204
29.284,176
30.376,125
31.467,80
32.559,43
33.65,33
34.742,24
35.833,20
36.924,12
38.016,2
39.107,6
40.199,4
41.29,2
42.382,0
43.473,0
44.565,0
45.656,0
46.747,1
