"bin_extents","bin_values"
0.027326,15
0.054308,56
0.08129,104
0.10827,204
0.13525,267
0.16224,397
0.18922,559
0.2162,726
0.24318,1032
0.27016,1242
0.29715,1366
0.32413,1708
0.35111,2039
0.37809,2202
0.40507,2509
0.43206,2911
0.45904,3526
0.48602,4219
0.513,4892
0.53999,5715
0.56697,6631
0.59395,7405
0.62093,8381
0.64791,9191
0.6749,10142
0.70188,11482
0.72886,12432
0.75584,13480
0.78282,14113
0.80981,14743
0.83679,15736
0.86377,16375
0.89075,16817
0.91773,17681
0.94472,18884
0.9717,20088
0.99868,21376
1.0257,22320
1.0526,22740
1.0796,23636
1.1066,25171
1.1336,27391
1.1606,29299
1.1876,31165
1.2145,33835
1.2415,36746
1.2685,39149
1.2955,41469
1.3225,44081
1.3494,46983
1.3764,49457
1.4034,52459
1.4304,55474
1.4574,59305
1.4844,63036
1.5113,65995
1.5383,67899
1.5653,68556
1.5923,68037
1.6193,67857
1.6462,66673
1.6732,64007
1.7002,61101
1.7272,57004
1.7542,55452
1.7812,53507
1.8081,51563
1.8351,47350
1.8621,43794
1.8891,40213
1.9161,36552
1.9431,33191
1.97,28821
1.997,24748
2.024,21238
2.051,18413
2.078,15072
2.1049,12356
2.1319,9915
2.1589,8303
2.1859,7071
2.2129,5632
2.2399,4461
2.2668,3513
2.2938,2803
2.3208,2479
2.3478,2075
2.3748,1744
2.4017,1324
2.4287,1067
2.4557,906
2.4827,695
2.5097,506
2.5367,331
2.5636,237
2.5906,150
2.6176,112
2.6446,45
2.6716,18
2.6985,4
