"bin_extents","bin_values"
-93.34,4
-91.174,2
-89.008,1
-86.842,2
-84.676,3
-82.51,8
-80.344,4
-78.178,8
-76.011,15
-73.845,12
-71.679,22
-69.513,21
-67.347,28
-65.181,40
-63.015,44
-60.849,86
-58.683,84
-56.517,116
-54.351,163
-52.185,169
-50.019,194
-47.853,294
-45.686,356
-43.52,471
-41.354,602
-39.188,758
-37.022,1013
-34.856,1327
-32.69,1711
-30.524,2259
-28.358,3129
-26.192,4024
-24.026,5659
-21.86,7696
-19.694,10515
-17.528,14955
-15.361,21311
-13.195,30407
-11.029,45064
-8.8633,69495
-6.6972,108895
-4.5311,175479
-2.365,273292
-0.19898,341170
1.9671,305082
4.1332,209964
6.2992,136060
8.4653,89174
10.631,58289
12.797,38539
14.964,26401
17.13,18556
19.296,12603
21.462,8497
23.628,6003
25.794,4450
27.96,3260
30.126,2419
32.292,1797
34.458,1453
36.624,1132
38.79,856
40.956,674
43.122,496
45.289,408
47.455,295
49.621,218
51.787,183
53.953,137
56.119,98
58.285,77
60.451,47
62.617,45
64.783,40
66.949,35
69.115,21
71.281,21
73.447,23
75.613,8
77.78,15
79.946,13
82.112,9
84.278,14
86.444,9
88.61,8
90.776,4
92.942,4
95.108,7
97.274,5
99.44,6
101.61,3
103.77,2
105.94,4
108.1,1
110.27,4
112.44,0
114.6,2
116.77,1
118.93,2
121.1,1
