"bin_extents","bin_values"
0.023274,13
0.049201,34
0.075127,75
0.10105,172
0.12698,277
0.15291,433
0.17883,641
0.20476,729
0.23069,936
0.25661,1055
0.28254,1118
0.30847,1323
0.33439,1549
0.36032,1847
0.38625,2056
0.41217,2288
0.4381,2622
0.46403,3277
0.48995,3874
0.51588,4522
0.54181,5187
0.56773,5646
0.59366,6203
0.61959,7065
0.64551,7988
0.67144,8930
0.69737,9836
0.72329,10629
0.74922,11193
0.77515,11931
0.80107,12623
0.827,13144
0.85293,13608
0.87885,14265
0.90478,14700
0.93071,15042
0.95663,15586
0.98256,16418
1.0085,17207
1.0344,18161
1.0603,18978
1.0863,19776
1.1122,21121
1.1381,22410
1.164,24310
1.19,26769
1.2159,29321
1.2418,31091
1.2678,32572
1.2937,34721
1.3196,37286
1.3455,40826
1.3715,45156
1.3974,49482
1.4233,54720
1.4492,59360
1.4752,63260
1.5011,66489
1.527,69107
1.5529,70389
1.5789,70085
1.6048,69009
1.6307,68031
1.6567,66182
1.6826,64505
1.7085,62657
1.7344,62004
1.7604,59436
1.7863,55991
1.8122,51775
1.8381,48682
1.8641,46417
1.89,42289
1.9159,37750
1.9418,33733
1.9678,28221
1.9937,24374
2.0196,20950
2.0456,18416
2.0715,15729
2.0974,12829
2.1233,11108
2.1493,9490
2.1752,7880
2.2011,6539
2.227,5154
2.253,3848
2.2789,3086
2.3048,2396
2.3307,1806
2.3567,1368
2.3826,1132
2.4085,880
2.4345,684
2.4604,522
2.4863,389
2.5122,250
2.5382,143
2.5641,60
2.59,5
