"bin_extents","bin_values"
-60.584,2
-59.547,2
-58.509,1
-57.471,0
-56.434,2
-55.396,7
-54.358,8
-53.321,5
-52.283,4
-51.246,7
-50.208,4
-49.17,12
-48.133,14
-47.095,20
-46.057,18
-45.02,20
-43.982,27
-42.944,31
-41.907,40
-40.869,57
-39.831,43
-38.794,67
-37.756,90
-36.718,84
-35.681,112
-34.643,104
-33.605,148
-32.568,207
-31.53,235
-30.492,290
-29.455,321
-28.417,383
-27.38,494
-26.342,655
-25.304,721
-24.267,928
-23.229,1145
-22.191,1352
-21.154,1622
-20.116,2053
-19.078,2549
-18.041,3141
-17.003,3988
-15.965,5025
-14.928,6215
-13.89,7743
-12.852,9883
-11.815,12676
-10.777,16512
-9.7394,21122
-8.7018,27642
-7.6641,35985
-6.6265,45806
-5.5888,58470
-4.5512,75691
-3.5135,97906
-2.4759,121666
-1.4382,147572
-0.40058,172586
0.63707,188469
1.6747,192470
2.7124,177190
3.75,149577
4.7877,118876
5.8253,90404
6.863,66791
7.9006,48413
8.9383,35166
9.9759,25503
11.014,18570
12.051,13415
13.089,10123
14.127,7294
15.164,5785
16.202,4292
17.24,3177
18.277,2421
19.315,1836
20.352,1352
21.39,966
22.428,762
23.465,555
24.503,407
25.541,301
26.578,224
27.616,164
28.654,127
29.691,69
30.729,45
31.767,36
32.804,21
33.842,23
34.88,16
35.917,11
36.955,8
37.993,2
39.03,3
40.068,2
41.106,3
42.143,1
