"bin_extents","bin_values"
-66.801,3
-65.692,0
-64.583,3
-63.474,4
-62.365,1
-61.256,1
-60.147,4
-59.039,3
-57.93,3
-56.821,6
-55.712,3
-54.603,6
-53.494,6
-52.385,7
-51.276,12
-50.167,4
-49.059,7
-47.95,11
-46.841,11
-45.732,14
-44.623,12
-43.514,21
-42.405,16
-41.296,37
-40.187,41
-39.079,38
-37.97,54
-36.861,57
-35.752,84
-34.643,81
-33.534,110
-32.425,141
-31.316,163
-30.207,206
-29.098,256
-27.99,359
-26.881,411
-25.772,599
-24.663,664
-23.554,846
-22.445,1023
-21.336,1396
-20.227,1846
-19.118,2325
-18.01,2989
-16.901,3855
-15.792,4868
-14.683,6378
-13.574,8206
-12.465,10774
-11.356,14076
-10.247,18857
-9.1384,25007
-8.0295,33600
-6.9206,44606
-5.8118,58988
-4.7029,77213
-3.594,104117
-2.4851,133839
-1.3762,165274
-0.2673,195763
0.84159,210843
1.9505,208922
3.0594,183269
4.1683,146940
5.2772,111269
6.3861,81479
7.4949,56377
8.6038,39401
9.7127,27047
10.822,18816
11.931,13069
13.039,9067
14.148,6399
15.257,4541
16.366,3216
17.475,2309
18.584,1700
19.693,1257
20.802,835
21.911,690
23.019,470
24.128,327
25.237,240
26.346,183
27.455,123
28.564,95
29.673,68
30.782,52
31.891,25
32.999,11
34.108,11
35.217,11
36.326,4
37.435,3
38.544,2
39.653,0
40.762,1
41.871,3
42.979,3
