"bin_extents","bin_values"
-73.162,3
-71.209,2
-69.255,11
-67.302,8
-65.348,12
-63.394,14
-61.441,26
-59.487,39
-57.534,50
-55.58,53
-53.626,89
-51.673,102
-49.719,153
-47.766,168
-45.812,261
-43.858,347
-41.905,394
-39.951,567
-37.998,725
-36.044,859
-34.09,1086
-32.137,1417
-30.183,1888
-28.23,2419
-26.276,3177
-24.322,4344
-22.369,5889
-20.415,8328
-18.462,11670
-16.508,16039
-14.554,22993
-12.601,33456
-10.647,50327
-8.6935,78672
-6.7399,123704
-4.7863,186500
-2.8327,252987
-0.87912,304823
1.0745,280321
3.0281,205985
4.9817,143176
6.9353,96955
8.8889,65415
10.843,44020
12.796,29448
14.75,20001
16.703,14156
18.657,9745
20.611,7023
22.564,4971
24.518,3501
26.471,2492
28.425,1869
30.379,1359
32.332,1024
34.286,814
36.239,546
38.193,411
40.147,309
42.1,261
44.054,208
46.007,151
47.961,110
49.915,102
51.868,66
53.822,63
55.775,43
57.729,36
59.683,35
61.636,23
63.59,26
65.543,17
67.497,15
69.451,10
71.404,9
73.358,3
75.311,6
77.265,6
79.219,5
81.172,5
83.126,4
85.079,4
87.033,1
88.987,1
90.94,5
92.894,3
94.847,3
96.801,5
98.755,1
100.71,2
102.66,2
104.62,2
106.57,0
108.52,0
110.48,1
112.43,1
114.38,3
116.34,0
118.29,1
120.24,1
