"bin_extents","bin_values"
-74.187,3
-72.104,8
-70.021,9
-67.938,16
-65.856,25
-63.773,20
-61.69,32
-59.607,50
-57.525,57
-55.442,89
-53.359,102
-51.276,160
-49.194,215
-47.111,297
-45.028,375
-42.945,477
-40.863,658
-38.78,840
-36.697,1047
-34.615,1404
-32.532,1850
-30.449,2212
-28.366,2865
-26.284,3821
-24.201,5163
-22.118,7092
-20.035,10101
-17.953,14172
-15.87,20414
-13.787,29137
-11.704,43998
-9.6217,69120
-7.5389,110717
-5.4562,173051
-3.3735,246803
-1.2907,311228
0.79201,298133
2.8747,223155
4.9575,153338
7.0402,102657
9.123,67718
11.206,46414
13.288,30585
15.371,20011
17.454,13785
19.537,9771
21.619,6801
23.702,4910
25.785,3475
27.868,2547
29.95,1806
32.033,1361
34.116,924
36.199,791
38.281,575
40.364,436
42.447,309
44.529,234
46.612,185
48.695,143
50.778,133
52.86,100
54.943,67
57.026,62
59.109,54
61.191,41
63.274,36
65.357,30
67.44,26
69.522,16
71.605,14
73.688,19
75.771,12
77.853,15
79.936,8
82.019,4
84.101,4
86.184,4
88.267,4
90.35,5
92.432,3
94.515,2
96.598,3
98.681,5
100.76,3
102.85,2
104.93,2
107.01,2
109.09,1
111.18,1
113.26,0
115.34,1
117.43,1
119.51,1
121.59,3
123.67,1
125.76,1
127.84,3
129.92,0
132,2
