"bin_extents","bin_values"
-74.544,1
-72.827,2
-71.109,6
-69.392,4
-67.674,11
-65.957,7
-64.239,9
-62.522,28
-60.804,17
-59.087,38
-57.369,44
-55.652,38
-53.934,58
-52.217,64
-50.499,85
-48.782,101
-47.064,123
-45.347,168
-43.629,186
-41.912,238
-40.194,319
-38.477,346
-36.759,517
-35.042,562
-33.325,733
-31.607,1001
-29.89,1177
-28.172,1455
-26.455,2037
-24.737,2659
-23.02,3465
-21.302,4583
-19.585,6137
-17.867,8398
-16.15,11172
-14.432,15842
-12.715,22269
-10.997,32014
-9.2798,47297
-7.5623,69849
-5.8448,104858
-4.1273,155279
-2.4098,222377
-0.69234,274184
1.0251,279605
2.7426,228276
4.4601,164068
6.1776,113969
7.8951,79326
9.6126,54666
11.33,37862
13.048,26674
14.765,19131
16.482,13943
18.2,10147
19.917,7547
21.635,5696
23.352,4212
25.07,3157
26.787,2263
28.505,1777
30.222,1380
31.94,958
33.657,805
35.375,591
37.092,489
38.81,376
40.527,285
42.245,250
43.962,187
45.68,148
47.397,125
49.115,119
50.832,90
52.55,72
54.267,78
55.985,75
57.702,44
59.42,42
61.137,35
62.855,26
64.572,16
66.289,18
68.007,13
69.724,12
71.442,10
73.159,10
74.877,13
76.594,7
78.312,8
80.029,7
81.747,3
83.464,2
85.182,3
86.899,4
88.617,1
90.334,1
92.052,1
93.769,1
95.487,1
