"bin_extents","bin_values"
-72.378,4
-70.275,8
-68.172,14
-66.07,17
-63.967,23
-61.865,26
-59.762,45
-57.659,50
-55.557,82
-53.454,98
-51.352,152
-49.249,207
-47.146,286
-45.044,319
-42.941,471
-40.839,648
-38.736,755
-36.633,1034
-34.531,1376
-32.428,1798
-30.326,2246
-28.223,2858
-26.121,3801
-24.018,5164
-21.915,7038
-19.813,10262
-17.71,14706
-15.608,21311
-13.505,30866
-11.402,47065
-9.2998,74462
-7.1972,120597
-5.0947,187180
-2.9921,264453
-0.88948,321511
1.2131,290017
3.3157,208912
5.4183,142283
7.5209,94123
9.6235,62114
11.726,41253
13.829,27524
15.931,18151
18.034,12244
20.136,8695
22.239,5971
24.342,4433
26.444,3089
28.547,2149
30.649,1615
32.752,1199
34.855,838
36.957,669
39.06,494
41.162,351
43.265,283
45.367,214
47.47,154
49.573,120
51.675,102
53.778,77
55.88,62
57.983,46
60.086,46
62.188,30
64.291,24
66.393,31
68.496,28
70.599,17
72.701,16
74.804,8
76.906,9
79.009,4
81.111,6
83.214,4
85.317,2
87.419,3
89.522,4
91.624,5
93.727,7
95.83,2
97.932,1
100.03,3
102.14,1
104.24,3
106.34,0
108.45,0
110.55,1
112.65,0
114.75,1
116.86,1
118.96,1
121.06,1
123.16,1
125.27,4
127.37,0
129.47,2
131.57,1
133.68,0
135.78,1
