"bin_extents","bin_values"
0.033952,41
0.063699,124
0.093446,247
0.12319,308
0.15294,407
0.18269,512
0.21243,740
0.24218,1106
0.27193,1428
0.30167,1872
0.33142,2218
0.36117,2695
0.39092,3140
0.42066,3653
0.45041,4534
0.48016,5673
0.5099,6658
0.53965,7568
0.5694,8705
0.59914,9807
0.62889,10922
0.65864,12194
0.68838,13683
0.71813,14993
0.74788,16224
0.77763,17489
0.80737,18728
0.83712,19775
0.86687,21152
0.89661,22570
0.92636,23832
0.95611,24965
0.98585,26410
1.0156,27984
1.0453,30429
1.0751,32810
1.1048,34530
1.1346,36314
1.1643,37901
1.1941,40444
1.2238,42652
1.2536,45514
1.2833,47390
1.3131,50186
1.3428,53558
1.3726,55939
1.4023,57993
1.4321,61092
1.4618,61820
1.4916,62659
1.5213,65228
1.551,66514
1.5808,65369
1.6105,64750
1.6403,64220
1.67,63590
1.6998,61170
1.7295,58553
1.7593,55691
1.789,53170
1.8188,49627
1.8485,45669
1.8783,42617
1.908,38243
1.9378,33884
1.9675,29298
1.9972,25199
2.027,22518
2.0567,19248
2.0865,16510
2.1162,13620
2.146,11503
2.1757,9449
2.2055,7566
2.2352,6277
2.265,5098
2.2947,4361
2.3245,3416
2.3542,2640
2.384,2127
2.4137,1544
2.4435,1165
2.4732,847
2.5029,666
2.5327,473
2.5624,401
2.5922,299
2.6219,238
2.6517,214
2.6814,163
2.7112,128
2.7409,105
2.7707,72
2.8004,45
2.8302,29
2.8599,17
2.8897,14
2.9194,8
2.9492,7
2.9789,4
