"bin_extents","bin_values"
-99.086,2
-96.842,0
-94.599,1
-92.356,0
-90.112,4
-87.869,1
-85.625,2
-83.382,2
-81.139,6
-78.895,0
-76.652,9
-74.408,7
-72.165,11
-69.922,24
-67.678,33
-65.435,34
-63.191,59
-60.948,76
-58.705,82
-56.461,113
-54.218,165
-51.975,185
-49.731,215
-47.488,295
-45.244,361
-43.001,465
-40.758,576
-38.514,825
-36.271,1067
-34.027,1445
-31.784,1878
-29.541,2551
-27.297,3519
-25.054,4839
-22.81,6840
-20.567,9307
-18.324,13290
-16.08,19262
-13.837,27600
-11.593,40892
-9.35,64697
-7.1067,103095
-4.8633,168922
-2.6199,272590
-0.37647,353020
1.8669,321689
4.1103,219194
6.3537,139880
8.5971,89616
10.84,57619
13.084,37625
15.327,25469
17.571,17352
19.814,11723
22.057,7929
24.301,5519
26.544,4004
28.788,2978
31.031,2232
33.274,1708
35.518,1262
37.761,977
40.005,752
42.248,559
44.491,458
46.735,329
48.978,244
51.222,207
53.465,157
55.708,104
57.952,83
60.195,67
62.439,52
64.682,27
66.925,20
69.169,22
71.412,33
73.656,15
75.899,16
78.142,7
80.386,10
82.629,8
84.872,14
87.116,8
89.359,5
91.603,5
93.846,4
96.089,5
98.333,2
100.58,6
102.82,3
105.06,6
107.31,4
109.55,0
111.79,3
114.04,1
116.28,1
118.52,0
120.77,2
123.01,1
