"bin_extents","bin_values"
-63.977,4
-62.82,1
-61.663,2
-60.506,6
-59.349,1
-58.192,4
-57.035,1
-55.878,1
-54.721,5
-53.564,6
-52.407,3
-51.25,7
-50.093,6
-48.936,9
-47.779,6
-46.622,11
-45.465,9
-44.308,14
-43.151,13
-41.994,18
-40.837,19
-39.68,19
-38.523,28
-37.366,35
-36.209,47
-35.052,60
-33.895,71
-32.738,97
-31.582,117
-30.425,131
-29.268,190
-28.111,244
-26.954,310
-25.797,408
-24.64,564
-23.483,727
-22.326,993
-21.169,1282
-20.012,1663
-18.855,2249
-17.698,2956
-16.541,3817
-15.384,5416
-14.227,7168
-13.07,9392
-11.913,12595
-10.756,16775
-9.5987,22552
-8.4418,30656
-7.2848,41723
-6.1278,56917
-4.9708,76224
-3.8138,102409
-2.6568,135851
-1.4998,171767
-0.34285,208033
0.81414,227860
1.9711,220455
3.1281,189907
4.2851,148962
5.4421,111138
6.5991,77988
7.7561,52633
8.913,35169
10.07,22856
11.227,15194
12.384,10319
13.541,6821
14.698,4569
15.855,3290
17.012,2199
18.169,1557
19.326,1051
20.483,800
21.64,609
22.797,409
23.954,267
25.111,225
26.268,156
27.425,119
28.582,67
29.739,51
30.896,23
32.053,14
33.21,15
34.367,4
35.524,3
36.681,6
37.838,4
38.995,0
40.152,5
41.309,1
42.466,1
43.623,2
44.78,1
45.937,0
47.094,0
48.251,0
49.408,0
50.565,1
