"bin_extents","bin_values"
-78.753,2
-77.108,2
-75.463,2
-73.819,0
-72.174,3
-70.529,4
-68.884,7
-67.239,9
-65.594,10
-63.949,17
-62.304,23
-60.66,16
-59.015,38
-57.37,31
-55.725,56
-54.08,58
-52.435,93
-50.79,98
-49.145,115
-47.5,174
-45.856,172
-44.211,241
-42.566,260
-40.921,333
-39.276,430
-37.631,574
-35.986,705
-34.341,831
-32.697,976
-31.052,1284
-29.407,1657
-27.762,2107
-26.117,2602
-24.472,3496
-22.827,4489
-21.182,5861
-19.537,8077
-17.893,10423
-16.248,13971
-14.603,19465
-12.958,26276
-11.313,36364
-9.6682,52381
-8.0233,76581
-6.3784,112396
-4.7335,159650
-3.0886,208090
-1.4437,251282
0.20114,256980
1.846,214910
3.4909,159850
5.1358,116217
6.7807,83393
8.4256,59249
10.07,42183
11.715,29900
13.36,21643
15.005,15777
16.65,11595
18.295,8578
19.94,6399
21.585,4738
23.23,3473
24.874,2539
26.519,2030
28.164,1566
29.809,1206
31.454,935
33.099,715
34.744,568
36.389,428
38.033,332
39.678,282
41.323,246
42.968,171
44.613,139
46.258,113
47.903,85
49.548,82
51.193,58
52.837,44
54.482,35
56.127,26
57.772,32
59.417,26
61.062,23
62.707,14
64.352,19
65.996,9
67.641,14
69.286,5
70.931,3
72.576,4
74.221,4
75.866,4
77.511,3
79.156,0
80.8,2
82.445,2
84.09,2
