"bin_extents","bin_values"
0.0456,44
0.073422,75
0.10124,178
0.12907,304
0.15689,465
0.18471,606
0.21253,744
0.24035,950
0.26817,1174
0.296,1609
0.32382,1809
0.35164,2222
0.37946,2445
0.40728,2819
0.4351,3462
0.46293,4055
0.49075,4762
0.51857,5553
0.54639,6588
0.57421,7329
0.60203,8347
0.62986,9410
0.65768,10373
0.6855,11475
0.71332,12757
0.74114,14047
0.76896,14360
0.79679,15301
0.82461,16750
0.85243,17912
0.88025,19001
0.90807,19532
0.93589,20655
0.96372,21862
0.99154,23098
1.0194,24033
1.0472,25825
1.075,26814
1.1028,28357
1.1306,29985
1.1585,31502
1.1863,34005
1.2141,35875
1.2419,39214
1.2698,41983
1.2976,45180
1.3254,47641
1.3532,49219
1.381,51834
1.4089,54641
1.4367,57937
1.4645,60553
1.4923,62834
1.5202,65374
1.548,66238
1.5758,66999
1.6036,66414
1.6314,65689
1.6593,64148
1.6871,63236
1.7149,60475
1.7427,57049
1.7705,54471
1.7984,51475
1.8262,47996
1.854,44247
1.8818,40127
1.9097,37311
1.9375,33980
1.9653,30264
1.9931,26203
2.0209,22458
2.0488,18461
2.0766,15410
2.1044,12856
2.1322,10397
2.1601,8449
2.1879,7255
2.2157,6065
2.2435,4886
2.2713,3831
2.2992,2951
2.327,2528
2.3548,2234
2.3826,1933
2.4104,1619
2.4383,1270
2.4661,903
2.4939,712
2.5217,548
2.5496,351
2.5774,258
2.6052,209
2.633,157
2.6608,102
2.6887,49
2.7165,26
2.7443,18
2.7721,11
2.7999,4
