"bin_extents","bin_values"
-96.792,1
-94.626,1
-92.46,2
-90.294,4
-88.128,0
-85.962,5
-83.796,6
-81.63,5
-79.464,6
-77.298,11
-75.132,16
-72.966,20
-70.8,24
-68.634,19
-66.468,36
-64.302,43
-62.136,71
-59.97,83
-57.804,94
-55.638,123
-53.472,191
-51.306,212
-49.141,257
-46.975,330
-44.809,391
-42.643,498
-40.477,692
-38.311,868
-36.145,1195
-33.979,1515
-31.813,1910
-29.647,2669
-27.481,3489
-25.315,4798
-23.149,6540
-20.983,8792
-18.817,12271
-16.651,17546
-14.485,24732
-12.319,35768
-10.153,53846
-7.9873,83466
-5.8213,131829
-3.6554,211245
-1.4894,309363
0.67653,339126
2.8425,267106
5.0084,176013
7.1744,114701
9.3404,74599
11.506,49352
13.672,33569
15.838,22860
18.004,16167
20.17,10708
22.336,7376
24.502,5413
26.668,3996
28.834,2846
31,2060
33.166,1658
35.332,1348
37.498,1031
39.664,766
41.83,586
43.996,463
46.162,379
48.328,279
50.494,204
52.66,158
54.825,137
56.991,90
59.157,68
61.323,52
63.489,46
65.655,28
67.821,26
69.987,27
72.153,15
74.319,22
76.485,16
78.651,21
80.817,11
82.983,10
85.149,6
87.315,9
89.481,8
91.647,4
93.813,6
95.979,6
98.145,7
100.31,1
102.48,3
104.64,7
106.81,3
108.97,0
111.14,1
113.31,1
115.47,2
117.64,3
