"bin_extents","bin_values"
-87.954,2
-85.86,1
-83.765,4
-81.67,4
-79.575,4
-77.481,7
-75.386,10
-73.291,15
-71.196,17
-69.101,21
-67.007,25
-64.912,38
-62.817,48
-60.722,49
-58.628,63
-56.533,104
-54.438,108
-52.343,122
-50.248,188
-48.154,201
-46.059,237
-43.964,316
-41.869,432
-39.774,549
-37.68,757
-35.585,1012
-33.49,1302
-31.395,1808
-29.301,2172
-27.206,3040
-25.111,4040
-23.016,5654
-20.921,7490
-18.827,10754
-16.732,14946
-14.637,21169
-12.542,30774
-10.448,46459
-8.3528,72133
-6.258,115177
-4.1632,187892
-2.0685,281254
0.026329,337185
2.1211,295506
4.2159,204799
6.3107,132474
8.4055,86234
10.5,56701
12.595,37665
14.69,25800
16.785,17351
18.879,12287
20.974,8657
23.069,5795
25.164,4311
27.258,3152
29.353,2379
31.448,1732
33.543,1324
35.638,1031
37.732,795
39.827,568
41.922,500
44.017,376
46.111,291
48.206,188
50.301,148
52.396,123
54.491,105
56.585,76
58.68,78
60.775,60
62.87,50
64.965,38
67.059,29
69.154,27
71.249,23
73.344,26
75.438,11
77.533,10
79.628,16
81.723,8
83.818,9
85.912,12
88.007,9
90.102,6
92.197,3
94.291,3
96.386,1
98.481,2
100.58,1
102.67,1
104.77,1
106.86,4
108.95,0
111.05,1
113.14,1
115.24,1
117.33,0
119.43,1
