"bin_extents","bin_values"
0.031727,12
0.058167,42
0.084608,124
0.11105,212
0.13749,286
0.16393,388
0.19037,572
0.21681,824
0.24325,960
0.26969,1117
0.29613,1374
0.32257,1675
0.34902,1871
0.37546,2089
0.4019,2377
0.42834,2777
0.45478,3347
0.48122,3821
0.50766,4480
0.5341,5291
0.56054,5949
0.58698,6620
0.61342,7280
0.63986,8561
0.6663,9361
0.69274,10306
0.71918,11298
0.74563,12523
0.77207,13465
0.79851,13984
0.82495,14713
0.85139,15029
0.87783,15434
0.90427,16009
0.93071,16768
0.95715,17850
0.98359,19082
1.01,19427
1.0365,20208
1.0629,20986
1.0894,22393
1.1158,23709
1.1422,25917
1.1687,27536
1.1951,30436
1.2216,33254
1.248,35641
1.2744,37763
1.3009,39998
1.3273,42112
1.3538,44956
1.3802,48116
1.4066,52117
1.4331,55670
1.4595,59496
1.486,63890
1.5124,66308
1.5388,68533
1.5653,69872
1.5917,69194
1.6182,68807
1.6446,68103
1.6711,64439
1.6975,60322
1.7239,57715
1.7504,56977
1.7768,54620
1.8033,52870
1.8297,48313
1.8561,44833
1.8826,41335
1.909,37630
1.9355,33805
1.9619,29800
1.9883,25500
2.0148,21258
2.0412,18476
2.0677,15875
2.0941,13383
2.1205,11085
2.147,9109
2.1734,7813
2.1999,6491
2.2263,4781
2.2527,3871
2.2792,2998
2.3056,2489
2.3321,2032
2.3585,1706
2.3849,1272
2.4114,1014
2.4378,841
2.4643,654
2.4907,506
2.5172,387
2.5436,303
2.57,156
2.5965,100
2.6229,61
2.6494,19
