"bin_extents","bin_values"
-69.594,2
-68.466,1
-67.338,1
-66.21,1
-65.081,2
-63.953,0
-62.825,1
-61.697,6
-60.569,6
-59.44,2
-58.312,4
-57.184,3
-56.056,3
-54.928,7
-53.799,4
-52.671,5
-51.543,7
-50.415,6
-49.287,7
-48.158,10
-47.03,12
-45.902,18
-44.774,10
-43.646,22
-42.517,26
-41.389,23
-40.261,35
-39.133,45
-38.005,43
-36.876,51
-35.748,77
-34.62,86
-33.492,121
-32.364,138
-31.236,154
-30.107,183
-28.979,255
-27.851,341
-26.723,397
-25.595,504
-24.466,676
-23.338,837
-22.21,1175
-21.082,1461
-19.954,1810
-18.825,2507
-17.697,3167
-16.569,4148
-15.441,5479
-14.313,6820
-13.184,9195
-12.056,11901
-10.928,15717
-9.7997,21616
-8.6715,28655
-7.5433,38398
-6.4151,51600
-5.2869,67988
-4.1588,91483
-3.0306,120345
-1.9024,154237
-0.77416,186532
0.35404,211721
1.4822,217165
2.6104,200136
3.7386,164327
4.8668,126402
5.995,92739
7.1232,64326
8.2514,44650
9.3796,30319
10.508,20606
11.636,14460
12.764,9802
13.892,6756
15.021,4779
16.149,3420
17.277,2396
18.405,1671
19.533,1258
20.662,877
21.79,619
22.918,409
24.046,352
25.174,247
26.303,166
27.431,134
28.559,106
29.687,62
30.815,40
31.944,25
33.072,9
34.2,7
35.328,10
36.456,6
37.585,2
38.713,4
39.841,4
40.969,3
42.097,2
