"bin_extents","bin_values"
0.023368,8
0.051845,41
0.080322,108
0.1088,204
0.13728,389
0.16575,539
0.19423,662
0.22271,816
0.25118,1059
0.27966,1382
0.30814,1752
0.33661,2013
0.36509,2447
0.39357,2806
0.42204,3280
0.45052,4060
0.479,4715
0.50747,5396
0.53595,6386
0.56443,7550
0.5929,8297
0.62138,9438
0.64986,10395
0.67834,11621
0.70681,12850
0.73529,14078
0.76377,14694
0.79224,15633
0.82072,17286
0.8492,18786
0.87767,19473
0.90615,20419
0.93463,21409
0.9631,22621
0.99158,23809
1.0201,25457
1.0485,26765
1.077,28375
1.1055,29525
1.134,31588
1.1624,33524
1.1909,35210
1.2194,37858
1.2479,41204
1.2763,43970
1.3048,47008
1.3333,49423
1.3618,51420
1.3903,53981
1.4187,57162
1.4472,60337
1.4757,62167
1.5042,64758
1.5326,66548
1.5611,67385
1.5896,67268
1.6181,66898
1.6465,65435
1.675,64803
1.7035,62262
1.732,59798
1.7605,56140
1.7889,53521
1.8174,49735
1.8459,45805
1.8744,41735
1.9028,38569
1.9313,35452
1.9598,31290
1.9883,27167
2.0167,23373
2.0452,19314
2.0737,16022
2.1022,13515
2.1307,10853
2.1591,9038
2.1876,7559
2.2161,6369
2.2446,5085
2.273,3870
2.3015,3165
2.33,2617
2.3585,2306
2.3869,1986
2.4154,1600
2.4439,1222
2.4724,893
2.5009,695
2.5293,501
2.5578,353
2.5863,245
2.6148,192
2.6432,170
2.6717,106
2.7002,58
2.7287,30
2.7571,21
2.7856,15
2.8141,8
2.8426,6
