"bin_extents","bin_values"
0.02249,3
0.048586,31
0.074682,84
0.10078,189
0.12687,259
0.15297,442
0.17907,639
0.20516,757
0.23126,956
0.25735,999
0.28345,1170
0.30955,1366
0.33564,1601
0.36174,1866
0.38783,2062
0.41393,2324
0.44003,2827
0.46612,3291
0.49222,3974
0.51831,4704
0.54441,5304
0.57051,5789
0.5966,6329
0.6227,7215
0.64879,8191
0.67489,9332
0.70099,10134
0.72708,10870
0.75318,11436
0.77927,12231
0.80537,12927
0.83147,13781
0.85756,13986
0.88366,14537
0.90975,14881
0.93585,15562
0.96194,16196
0.98804,17052
1.0141,17593
1.0402,18518
1.0663,19547
1.0924,20413
1.1185,21815
1.1446,23230
1.1707,25536
1.1968,28246
1.2229,30524
1.249,32239
1.2751,34166
1.3012,36111
1.3273,38816
1.3534,42662
1.3795,47103
1.4056,51391
1.4317,56565
1.4578,61158
1.4839,64123
1.51,67831
1.5361,70299
1.5622,70830
1.5882,70041
1.6143,68857
1.6404,68394
1.6665,64740
1.6926,63510
1.7187,61905
1.7448,60912
1.7709,58322
1.797,54410
1.8231,50234
1.8492,47680
1.8753,44595
1.9014,39887
1.9275,36024
1.9536,31109
1.9797,26354
2.0058,22755
2.0319,19726
2.058,17109
2.0841,14012
2.1102,11857
2.1363,10429
2.1624,8677
2.1885,7244
2.2146,5694
2.2406,4396
2.2667,3347
2.2928,2663
2.3189,2105
2.345,1516
2.3711,1176
2.3972,1005
2.4233,674
2.4494,587
2.4755,486
2.5016,329
2.5277,214
2.5538,112
2.5799,48
2.606,4
