"bin_extents","bin_values"
0.03311,16
0.062251,79
0.091393,152
0.12053,347
0.14968,438
0.17882,561
0.20796,758
0.2371,952
0.26624,1262
0.29538,1604
0.32452,2034
0.35366,2425
0.3828,2790
0.41195,3305
0.44109,4082
0.47023,4890
0.49937,5647
0.52851,6507
0.55765,7733
0.58679,8661
0.61593,9691
0.64508,10818
0.67422,11936
0.70336,13404
0.7325,14421
0.76164,15492
0.79078,16811
0.81992,18246
0.84906,19465
0.87821,20520
0.90735,21284
0.93649,22714
0.96563,23942
0.99477,25229
1.0239,26926
1.0531,28743
1.0822,30564
1.1113,32192
1.1405,33695
1.1696,35903
1.1988,38220
1.2279,40664
1.257,43578
1.2862,46310
1.3153,49404
1.3445,51724
1.3736,54409
1.4027,56528
1.4319,60665
1.461,61949
1.4902,63081
1.5193,65363
1.5485,67213
1.5776,66946
1.6067,66762
1.6359,65860
1.665,65091
1.6942,63439
1.7233,60147
1.7524,57348
1.7816,55026
1.8107,51039
1.8399,46638
1.869,43145
1.8981,39630
1.9273,35711
1.9564,31305
1.9856,27374
2.0147,23743
2.0439,20192
2.073,16599
2.1021,14041
2.1313,11795
2.1604,9323
2.1896,8007
2.2187,6691
2.2478,5439
2.277,4249
2.3061,3320
2.3353,2732
2.3644,2349
2.3935,1961
2.4227,1545
2.4518,1131
2.481,813
2.5101,622
2.5393,471
2.5684,326
2.5975,275
2.6267,219
2.6558,170
2.685,98
2.7141,76
2.7432,56
2.7724,46
2.8015,20
2.8307,14
2.8598,10
2.8889,8
2.9181,3
