"bin_extents","bin_values"
-99.967,2
-97.427,1
-94.887,2
-92.346,4
-89.806,4
-87.265,9
-84.725,10
-82.185,16
-79.644,24
-77.104,27
-74.564,36
-72.023,41
-69.483,45
-66.942,58
-64.402,88
-61.862,112
-59.321,124
-56.781,193
-54.241,208
-51.7,279
-49.16,375
-46.619,514
-44.079,664
-41.539,893
-38.998,1247
-36.458,1821
-33.918,2523
-31.377,3391
-28.837,4897
-26.297,6742
-23.756,9471
-21.216,13695
-18.675,19758
-16.135,28890
-13.595,43547
-11.054,68100
-8.514,110961
-5.9736,182431
-3.4332,284260
-0.89284,358999
1.6475,312740
4.1879,214117
6.7283,136093
9.2686,85119
11.809,53313
14.349,33985
16.89,21769
19.43,14317
21.97,9555
24.511,6534
27.051,4325
29.592,3059
32.132,2218
34.672,1642
37.213,1210
39.753,855
42.293,654
44.834,490
47.374,371
49.915,303
52.455,218
54.995,203
57.536,157
60.076,136
62.616,114
65.157,86
67.697,80
70.237,54
72.778,41
75.318,30
77.859,18
80.399,13
82.939,14
85.48,10
88.02,6
90.56,9
93.101,8
95.641,6
98.182,7
100.72,3
103.26,4
105.8,7
108.34,1
110.88,3
113.42,1
115.96,3
118.5,1
121.04,1
123.59,4
126.13,5
128.67,2
131.21,0
133.75,1
136.29,0
138.83,1
141.37,0
143.91,2
146.45,1
148.99,1
151.53,1
