"bin_extents","bin_values"
-84.355,2
-82.125,0
-79.895,1
-77.666,1
-75.436,8
-73.207,13
-70.977,16
-68.747,18
-66.518,28
-64.288,25
-62.058,41
-59.829,68
-57.599,68
-55.37,109
-53.14,164
-50.91,192
-48.681,290
-46.451,360
-44.221,483
-41.992,656
-39.762,855
-37.533,1112
-35.303,1426
-33.073,1954
-30.844,2530
-28.614,3203
-26.384,4333
-24.155,6009
-21.925,8631
-19.696,12054
-17.466,17290
-15.236,24946
-13.007,37027
-10.777,58390
-8.5475,95214
-6.3179,154563
-4.0882,235188
-1.8586,316407
0.37102,326394
2.6006,247805
4.8303,167930
7.0599,108592
9.2895,70964
11.519,46608
13.749,30569
15.978,20014
18.208,13459
20.438,9190
22.667,6494
24.897,4671
27.127,3304
29.356,2315
31.586,1586
33.815,1127
36.045,846
38.275,650
40.504,479
42.734,350
44.964,269
47.193,240
49.423,134
51.652,132
53.882,105
56.112,89
58.341,61
60.571,56
62.801,35
65.03,39
67.26,28
69.489,18
71.719,17
73.949,17
76.178,18
78.408,15
80.638,10
82.867,10
85.097,10
87.326,3
89.556,4
91.786,6
94.015,1
96.245,3
98.475,5
100.7,5
102.93,3
105.16,3
107.39,0
109.62,5
111.85,4
114.08,0
116.31,4
118.54,2
120.77,3
123,1
125.23,1
127.46,0
129.69,1
131.92,1
134.15,1
136.38,2
