"bin_extents","bin_values"
0.029105,9
0.055261,33
0.081416,112
0.10757,181
0.13373,301
0.15988,459
0.18604,650
0.21219,813
0.23835,957
0.2645,1057
0.29066,1277
0.31681,1467
0.34297,1723
0.36913,1922
0.39528,2182
0.42144,2603
0.44759,2958
0.47375,3611
0.4999,4177
0.52606,4922
0.55221,5478
0.57837,6080
0.60452,6858
0.63068,7571
0.65684,8726
0.68299,9740
0.70915,10629
0.7353,11272
0.76146,11980
0.78761,13037
0.81377,13678
0.83992,14309
0.86608,14556
0.89223,14953
0.91839,15801
0.94455,16400
0.9707,17117
0.99686,17749
1.023,18389
1.0492,19290
1.0753,20256
1.1015,21476
1.1276,22875
1.1538,25204
1.1799,27230
1.2061,30146
1.2323,32037
1.2584,34402
1.2846,36283
1.3107,38427
1.3369,41245
1.363,44845
1.3892,48516
1.4153,53485
1.4415,57751
1.4677,62025
1.4938,65327
1.52,68260
1.5461,70284
1.5723,70680
1.5984,69104
1.6246,68616
1.6507,66902
1.6769,63436
1.7031,61186
1.7292,59692
1.7554,58682
1.7815,55981
1.8077,52091
1.8338,48888
1.86,45640
1.8861,41864
1.9123,37247
1.9385,33934
1.9646,28876
1.9908,24404
2.0169,21009
2.0431,18292
2.0692,15864
2.0954,13001
2.1215,10952
2.1477,9541
2.1738,7996
2.2,6357
2.2262,4918
2.2523,3830
2.2785,2909
2.3046,2378
2.3308,1868
2.3569,1492
2.3831,1067
2.4092,849
2.4354,673
2.4616,593
2.4877,440
2.5139,361
2.54,224
2.5662,132
2.5923,58
2.6185,24
