"bin_extents","bin_values"
0.028615,23
0.058147,89
0.087678,210
0.11721,293
0.14674,380
0.17627,499
0.2058,742
0.23534,1010
0.26487,1275
0.2944,1667
0.32393,2116
0.35346,2541
0.38299,2867
0.41253,3472
0.44206,4301
0.47159,5107
0.50112,6288
0.53065,6971
0.56018,8101
0.58972,9231
0.61925,10449
0.64878,11452
0.67831,12679
0.70784,14161
0.73737,15318
0.76691,16621
0.79644,18007
0.82597,18943
0.8555,20352
0.88503,21657
0.91456,22798
0.9441,23851
0.97363,25051
1.0032,26880
1.0327,28833
1.0622,30887
1.0918,32898
1.1213,34307
1.1508,36477
1.1803,38018
1.2099,40655
1.2394,43542
1.2689,45970
1.2985,48237
1.328,51642
1.3575,54001
1.3871,56369
1.4166,58941
1.4461,61868
1.4757,62408
1.5052,63558
1.5347,66212
1.5643,66489
1.5938,65459
1.6233,65131
1.6529,64373
1.6824,63655
1.7119,60657
1.7414,57551
1.771,55044
1.8005,52513
1.83,48208
1.8596,44472
1.8891,40846
1.9186,36387
1.9482,32633
1.9777,27888
2.0072,24205
2.0368,21265
2.0663,18204
2.0958,15032
2.1254,12695
2.1549,10583
2.1844,8596
2.214,7068
2.2435,5786
2.273,4816
2.3026,3829
2.3321,2978
2.3616,2524
2.3911,2006
2.4207,1508
2.4502,1072
2.4797,808
2.5093,627
2.5388,474
2.5683,359
2.5979,284
2.6274,224
2.6569,185
2.6865,147
2.716,105
2.7455,89
2.7751,54
2.8046,35
2.8341,23
2.8637,16
2.8932,11
2.9227,6
2.9522,7
