"bin_extents","bin_values"
-61.7,1
-60.633,0
-59.567,1
-58.5,4
-57.433,2
-56.366,3
-55.299,1
-54.233,3
-53.166,7
-52.099,7
-51.032,6
-49.966,13
-48.899,6
-47.832,13
-46.765,24
-45.699,16
-44.632,25
-43.565,28
-42.498,34
-41.432,34
-40.365,59
-39.298,43
-38.231,77
-37.165,83
-36.098,94
-35.031,123
-33.964,147
-32.897,154
-31.831,191
-30.764,268
-29.697,315
-28.63,381
-27.564,485
-26.497,573
-25.43,736
-24.363,886
-23.297,1094
-22.23,1418
-21.163,1751
-20.096,1988
-19.03,2567
-17.963,3266
-16.896,4038
-15.829,5132
-14.763,6541
-13.696,8282
-12.629,10477
-11.562,13634
-10.495,17854
-9.4287,23305
-8.3619,30768
-7.2952,39863
-6.2284,51718
-5.1617,66737
-4.0949,87567
-3.0281,112611
-1.9614,138736
-0.89461,166514
0.17215,189739
1.2389,198661
2.3057,192331
3.3724,165124
4.4392,132164
5.506,101413
6.5727,74736
7.6395,53882
8.7062,38433
9.773,27387
10.84,19896
11.907,14173
12.973,10187
14.04,7673
15.107,5825
16.174,4231
17.24,3110
18.307,2328
19.374,1727
20.441,1251
21.507,945
22.574,659
23.641,488
24.708,389
25.774,275
26.841,193
27.908,153
28.975,121
30.041,55
31.108,48
32.175,21
33.242,23
34.309,11
35.375,9
36.442,4
37.509,5
38.576,2
39.642,3
40.709,2
41.776,1
42.843,0
43.909,1
