"bin_extents","bin_values"
-94.943,2
-92.763,1
-90.583,0
-88.402,1
-86.222,1
-84.042,7
-81.862,5
-79.682,4
-77.502,6
-75.322,4
-73.141,11
-70.961,21
-68.781,20
-66.601,39
-64.421,48
-62.241,66
-60.061,68
-57.88,85
-55.7,140
-53.52,136
-51.34,157
-49.16,224
-46.98,277
-44.8,338
-42.619,455
-40.439,575
-38.259,832
-36.079,1105
-33.899,1283
-31.719,1792
-29.539,2540
-27.358,3338
-25.178,4686
-22.998,6315
-20.818,8500
-18.638,12023
-16.458,17285
-14.278,24661
-12.097,35646
-9.9173,55421
-7.7371,87366
-5.557,140173
-3.3769,229586
-1.1967,324209
0.98342,340503
3.1636,256643
5.3437,166946
7.5238,107581
9.704,69885
11.884,45404
14.064,30551
16.244,20865
18.425,14451
20.605,9744
22.785,6729
24.965,4862
27.145,3566
29.325,2594
31.505,1958
33.686,1525
35.866,1176
38.046,903
40.226,693
42.406,491
44.586,386
46.766,332
48.947,239
51.127,200
53.307,146
55.487,110
57.667,75
59.847,61
62.027,64
64.208,47
66.388,35
68.568,23
70.748,21
72.928,15
75.108,16
77.288,7
79.468,9
81.649,15
83.829,7
86.009,6
88.189,4
90.369,9
92.549,4
94.729,2
96.91,4
99.09,3
101.27,4
103.45,2
105.63,6
107.81,3
109.99,0
112.17,4
114.35,1
116.53,0
118.71,0
120.89,1
