"bin_extents","bin_values"
0.029195,11
0.055459,34
0.081722,101
0.10799,185
0.13425,296
0.16051,465
0.18678,581
0.21304,805
0.2393,971
0.26557,1091
0.29183,1303
0.31809,1582
0.34436,1720
0.37062,1960
0.39688,2264
0.42315,2616
0.44941,3018
0.47567,3702
0.50194,4295
0.5282,5060
0.55446,5674
0.58073,6175
0.60699,6940
0.63325,7933
0.65952,8838
0.68578,9949
0.71204,10799
0.73831,11602
0.76457,12420
0.79083,13543
0.8171,14105
0.84336,14606
0.86962,14850
0.89589,15225
0.92215,15887
0.94841,17012
0.97468,17565
1.0009,18206
1.0272,19119
1.0535,19681
1.0797,20830
1.106,22086
1.1323,23890
1.1585,25951
1.1848,28220
1.211,30754
1.2373,33403
1.2636,35680
1.2898,37997
1.3161,39645
1.3424,42428
1.3686,45911
1.3949,49936
1.4212,54511
1.4474,58182
1.4737,62956
1.4999,65729
1.5262,68697
1.5525,70079
1.5787,70595
1.605,68486
1.6313,68873
1.6575,66374
1.6838,62492
1.71,60046
1.7363,58889
1.7626,57349
1.7888,54771
1.8151,51036
1.8414,47472
1.8676,44296
1.8939,40248
1.9202,36086
1.9464,32526
1.9727,27495
1.9989,23438
2.0252,19920
2.0515,17672
2.0777,14652
2.104,12417
2.1303,10324
2.1565,9024
2.1828,7456
2.2091,5760
2.2353,4440
2.2616,3491
2.2878,2813
2.3141,2214
2.3404,1784
2.3666,1378
2.3929,1038
2.4192,807
2.4454,694
2.4717,527
2.498,461
2.5242,326
2.5505,213
2.5767,109
2.603,62
2.6293,24
