"bin_extents","bin_values"
0.023435,10
0.05056,46
0.077685,108
0.10481,165
0.13193,272
0.15906,434
0.18618,572
0.21331,710
0.24043,922
0.26756,1202
0.29468,1517
0.32181,1793
0.34893,1991
0.37606,2234
0.40318,2548
0.43031,3074
0.45743,3710
0.48456,4279
0.51168,4963
0.53881,5900
0.56593,6785
0.59306,7453
0.62018,8512
0.64731,9638
0.67443,10566
0.70156,11850
0.72868,12961
0.75581,13880
0.78293,14121
0.81006,15149
0.83718,15940
0.86431,17259
0.89143,17787
0.91856,18636
0.94568,19968
0.97281,20927
0.99993,22207
1.0271,23376
1.0542,24304
1.0813,25095
1.1084,26796
1.1356,28532
1.1627,30157
1.1898,32084
1.2169,34757
1.2441,37794
1.2712,40604
1.2983,43237
1.3254,45627
1.3526,47789
1.3797,50258
1.4068,52981
1.4339,56108
1.4611,59452
1.4882,62623
1.5153,65007
1.5424,66647
1.5696,67117
1.5967,66683
1.6238,66083
1.6509,64280
1.6781,62957
1.7052,60764
1.7323,56899
1.7594,54453
1.7866,52763
1.8137,49398
1.8408,46201
1.8679,41886
1.8951,38394
1.9222,35572
1.9493,32160
1.9764,28164
2.0036,24214
2.0307,20868
2.0578,17519
2.0849,14220
2.1121,11465
2.1392,9452
2.1663,7938
2.1934,6599
2.2206,5483
2.2477,4319
2.2748,3384
2.3019,2733
2.3291,2339
2.3562,2175
2.3833,1770
2.4104,1417
2.4376,1121
2.4647,904
2.4918,708
2.5189,464
2.5461,327
2.5732,236
2.6003,169
2.6274,135
2.6546,64
2.6817,29
2.7088,9
