"bin_extents","bin_values"
-87.348,1
-85.283,2
-83.217,0
-81.152,3
-79.087,5
-77.022,4
-74.957,17
-72.892,9
-70.826,25
-68.761,16
-66.696,32
-64.631,44
-62.566,56
-60.5,63
-58.435,63
-56.37,104
-54.305,124
-52.24,135
-50.175,188
-48.109,238
-46.044,287
-43.979,336
-41.914,448
-39.849,607
-37.784,785
-35.718,1040
-33.653,1303
-31.588,1721
-29.523,2333
-27.458,3119
-25.392,4126
-23.327,5514
-21.262,7289
-19.197,10308
-17.132,14265
-15.067,20167
-13.001,28509
-10.936,42514
-8.871,64489
-6.8058,100456
-4.7407,160721
-2.6755,249491
-0.6103,323415
1.4549,312444
3.5201,228897
5.5852,150543
7.6504,98791
9.7156,66229
11.781,43952
13.846,29611
15.911,20668
17.976,14580
20.041,10055
22.107,6980
24.172,5207
26.237,3798
28.302,2838
30.367,2048
32.433,1630
34.498,1233
36.563,955
38.628,778
40.693,603
42.758,451
44.824,342
46.889,281
48.954,233
51.019,187
53.084,131
55.15,105
57.215,100
59.28,60
61.345,48
63.41,29
65.475,30
67.541,22
69.606,19
71.671,17
73.736,16
75.801,15
77.866,16
79.932,10
81.997,5
84.062,2
86.127,4
88.192,8
90.258,1
92.323,4
94.388,5
96.453,6
98.518,3
100.58,3
102.65,6
104.71,3
106.78,1
108.84,0
110.91,2
112.97,4
115.04,1
117.1,1
