"bin_extents","bin_values"
-95.097,1
-93.054,1
-91.01,1
-88.967,0
-86.924,2
-84.88,1
-82.837,1
-80.793,4
-78.75,6
-76.707,9
-74.663,14
-72.62,16
-70.577,18
-68.533,26
-66.49,23
-64.446,40
-62.403,27
-60.36,40
-58.316,49
-56.273,56
-54.229,65
-52.186,94
-50.143,111
-48.099,151
-46.056,207
-44.012,260
-41.969,354
-39.926,448
-37.882,618
-35.839,810
-33.796,1075
-31.752,1378
-29.709,1864
-27.665,2438
-25.622,3319
-23.579,4607
-21.535,6260
-19.492,8782
-17.448,12168
-15.405,17253
-13.362,24879
-11.318,36950
-9.2748,56391
-7.2315,90779
-5.1881,145643
-3.1447,228480
-1.1013,311994
0.9421,326146
2.9855,254736
5.0289,170445
7.0723,110456
9.1157,72928
11.159,48178
13.202,32235
15.246,21790
17.289,15031
19.333,10705
21.376,7378
23.419,5155
25.463,3768
27.506,2909
29.55,2107
31.593,1541
33.636,1106
35.68,882
37.723,657
39.766,489
41.81,402
43.853,313
45.897,267
47.94,174
49.983,141
52.027,112
54.07,114
56.114,82
58.157,65
60.2,47
62.244,51
64.287,41
66.331,40
68.374,22
70.417,22
72.461,21
74.504,20
76.547,12
78.591,14
80.634,15
82.678,8
84.721,6
86.764,8
88.808,5
90.851,5
92.895,3
94.938,6
96.981,0
99.025,0
101.07,3
103.11,3
105.15,2
107.2,4
