"bin_extents","bin_values"
-77.044,8
-75.208,5
-73.371,9
-71.534,10
-69.698,21
-67.861,15
-66.024,18
-64.188,20
-62.351,25
-60.514,36
-58.678,37
-56.841,38
-55.004,59
-53.168,74
-51.331,83
-49.494,122
-47.658,163
-45.821,151
-43.984,188
-42.148,253
-40.311,346
-38.474,485
-36.638,639
-34.801,735
-32.964,959
-31.128,1229
-29.291,1688
-27.454,2115
-25.618,2768
-23.781,3716
-21.944,5052
-20.108,6737
-18.271,9094
-16.434,12357
-14.598,17538
-12.761,24372
-10.924,35430
-9.0876,52931
-7.2509,81000
-5.4142,124802
-3.5776,187908
-1.7409,261948
0.095751,299730
1.9324,271672
3.7691,199065
5.6057,136339
7.4424,92009
9.2791,63525
11.116,43029
12.952,29949
14.789,20792
16.626,14976
18.462,10712
20.299,7852
22.136,5678
23.972,4138
25.809,3141
27.646,2345
29.482,1830
31.319,1362
33.156,1029
34.992,778
36.829,595
38.666,455
40.502,402
42.339,337
44.176,283
46.012,187
47.849,161
49.686,133
51.522,129
53.359,90
55.196,79
57.032,52
58.869,48
60.706,63
62.542,35
64.379,30
66.216,19
68.052,21
69.889,13
71.726,16
73.562,12
75.399,19
77.236,12
79.072,7
80.909,14
82.746,3
84.582,4
86.419,4
88.256,5
90.092,4
91.929,1
93.766,4
95.602,3
97.439,1
99.276,2
101.11,2
102.95,0
104.79,3
