"bin_extents","bin_values"
-89.978,4
-87.557,0
-85.136,2
-82.715,10
-80.295,10
-77.874,8
-75.453,14
-73.032,26
-70.611,18
-68.19,22
-65.769,30
-63.348,62
-60.927,83
-58.507,103
-56.086,134
-53.665,173
-51.244,249
-48.823,321
-46.402,428
-43.981,598
-41.56,809
-39.139,1063
-36.719,1394
-34.298,1867
-31.877,2563
-29.456,3377
-27.035,4812
-24.614,6804
-22.193,9548
-19.772,13715
-17.351,19843
-14.931,29329
-12.51,45661
-10.089,75156
-7.6678,126027
-5.247,206103
-2.8261,305947
-0.40517,361575
2.0157,290509
4.4366,194667
6.8575,123023
9.2784,77696
11.699,49279
14.12,31502
16.541,20284
18.962,13575
21.383,8966
23.804,6198
26.225,4273
28.646,2933
31.066,2094
33.487,1454
35.908,967
38.329,696
40.75,519
43.171,405
45.592,296
48.013,218
50.434,180
52.854,137
55.275,104
57.696,89
60.117,68
62.538,49
64.959,53
67.38,29
69.801,34
72.222,23
74.642,20
77.063,21
79.484,19
81.905,17
84.326,14
86.747,11
89.168,4
91.589,7
94.01,5
96.431,4
98.851,4
101.27,2
103.69,5
106.11,5
108.53,2
110.96,7
113.38,1
115.8,2
118.22,2
120.64,4
123.06,2
125.48,3
127.9,4
130.32,1
132.74,1
135.16,2
137.59,0
140.01,3
142.43,0
144.85,1
147.27,0
149.69,2
