"bin_extents","bin_values"
-95.399,1
-93.264,1
-91.128,1
-88.992,1
-86.857,1
-84.721,1
-82.585,0
-80.45,7
-78.314,13
-76.178,12
-74.043,17
-71.907,22
-69.772,14
-67.636,32
-65.5,35
-63.365,24
-61.229,39
-59.093,52
-56.958,65
-54.822,84
-52.686,103
-50.551,156
-48.415,145
-46.279,224
-44.144,269
-42.008,366
-39.872,516
-37.737,733
-35.601,890
-33.465,1197
-31.33,1549
-29.194,2171
-27.059,2988
-24.923,3980
-22.787,5562
-20.652,7684
-18.516,11045
-16.38,15512
-14.245,22646
-12.109,32928
-9.9734,51639
-7.8377,81643
-5.7021,135196
-3.5664,219194
-1.4308,313998
0.70489,342636
2.8405,272577
4.9762,179501
7.1118,114361
9.2475,74548
11.383,47856
13.519,31873
15.654,21491
17.79,14746
19.926,9942
22.061,6949
24.197,4938
26.333,3577
28.468,2656
30.604,1907
32.74,1400
34.875,1013
37.011,770
39.147,602
41.282,485
43.418,363
45.554,283
47.689,240
49.825,160
51.96,136
54.096,108
56.232,78
58.367,69
60.503,62
62.639,40
64.774,45
66.91,37
69.046,32
71.181,34
73.317,18
75.453,16
77.588,11
79.724,7
81.86,9
83.995,8
86.131,8
88.267,4
90.402,4
92.538,4
94.673,4
96.809,4
98.945,4
101.08,1
103.22,3
105.35,0
107.49,2
109.62,2
111.76,1
113.89,1
116.03,1
