"bin_extents","bin_values"
-86.374,6
-84.037,3
-81.7,4
-79.364,6
-77.027,9
-74.69,12
-72.353,13
-70.016,19
-67.679,18
-65.342,38
-63.006,41
-60.669,77
-58.332,87
-55.995,133
-53.658,142
-51.321,229
-48.984,292
-46.647,396
-44.311,536
-41.974,692
-39.637,921
-37.3,1256
-34.963,1586
-32.626,2166
-30.289,2859
-27.952,3897
-25.616,5360
-23.279,7601
-20.942,10729
-18.605,15693
-16.268,22243
-13.931,32930
-11.594,52358
-9.2575,86587
-6.9207,142115
-4.5838,225215
-2.2469,318145
0.089953,345336
2.4268,265326
4.7637,177853
7.1006,113110
9.4374,72512
11.774,46921
14.111,30003
16.448,19681
18.785,13090
21.122,8811
23.459,6198
25.796,4260
28.132,3048
30.469,2084
32.806,1453
35.143,1061
37.48,724
39.817,575
42.154,405
44.49,319
46.827,239
49.164,183
51.501,140
53.838,130
56.175,95
58.512,66
60.849,48
63.185,46
65.522,36
67.859,26
70.196,23
72.533,25
74.87,23
77.207,12
79.544,14
81.88,11
84.217,14
86.554,5
88.891,7
91.228,5
93.565,5
95.902,5
98.238,6
100.58,3
102.91,4
105.25,3
107.59,2
109.92,2
112.26,0
114.6,1
116.93,2
119.27,4
121.61,2
123.94,2
126.28,1
128.62,3
130.95,0
133.29,0
135.63,3
137.97,1
140.3,0
142.64,0
144.98,2
