"bin_extents","bin_values"
-66.765,1
-65.623,0
-64.482,0
-63.341,1
-62.199,2
-61.058,2
-59.917,3
-58.776,3
-57.634,3
-56.493,5
-55.352,6
-54.211,4
-53.069,3
-51.928,8
-50.787,7
-49.645,11
-48.504,16
-47.363,14
-46.222,13
-45.08,21
-43.939,17
-42.798,22
-41.656,34
-40.515,43
-39.374,48
-38.233,58
-37.091,81
-35.95,83
-34.809,110
-33.667,118
-32.526,153
-31.385,221
-30.244,253
-29.102,319
-27.961,399
-26.82,533
-25.678,637
-24.537,792
-23.396,1005
-22.255,1260
-21.113,1653
-19.972,2228
-18.831,2702
-17.69,3384
-16.548,4523
-15.407,5632
-14.266,7315
-13.124,9485
-11.983,12672
-10.842,16924
-9.7006,22792
-8.5593,30529
-7.418,40978
-6.2767,54093
-5.1354,72022
-3.9941,95946
-2.8529,126195
-1.7116,159035
-0.5703,190999
0.57098,211351
1.7123,215057
2.8535,194626
3.9948,156964
5.1361,118856
6.2774,86702
7.4187,60704
8.5599,41954
9.7012,29094
10.843,20086
11.984,13735
13.125,9571
14.266,6925
15.408,4961
16.549,3482
17.69,2433
18.831,1832
19.973,1298
21.114,993
22.255,696
23.397,480
24.538,336
25.679,257
26.82,176
27.962,143
29.103,107
30.244,47
31.386,35
32.527,28
33.668,16
34.809,6
35.951,6
37.092,2
38.233,3
39.375,1
40.516,0
41.657,1
42.798,0
43.94,2
45.081,0
46.222,1
