"bin_extents","bin_values"
0.032924,20
0.062293,82
0.091662,195
0.12103,341
0.1504,411
0.17977,537
0.20914,776
0.23851,1003
0.26788,1282
0.29724,1693
0.32661,2130
0.35598,2425
0.38535,2904
0.41472,3455
0.44409,4354
0.47346,5057
0.50283,5940
0.5322,6892
0.56156,8004
0.59093,9143
0.6203,10082
0.64967,11308
0.67904,12417
0.70841,13893
0.73778,15057
0.76715,16090
0.79652,17430
0.82588,18975
0.85525,19993
0.88462,21155
0.91399,22097
0.94336,23485
0.97273,24873
1.0021,26040
1.0315,28016
1.0608,30158
1.0902,31888
1.1196,33651
1.1489,35037
1.1783,37507
1.2077,39816
1.237,42070
1.2664,45195
1.2958,48031
1.3252,50707
1.3545,53183
1.3839,55831
1.4133,58288
1.4426,61739
1.472,62461
1.5014,63676
1.5307,65901
1.5601,67069
1.5895,66139
1.6188,66016
1.6482,64857
1.6776,64772
1.707,61551
1.7363,58455
1.7657,56072
1.7951,53511
1.8244,48820
1.8538,45239
1.8832,41579
1.9125,37503
1.9419,33448
1.9713,29179
2.0006,25124
2.03,21973
2.0594,18589
2.0887,15350
2.1181,13162
2.1475,10642
2.1769,8832
2.2062,7452
2.2356,6020
2.265,4817
2.2943,3901
2.3237,2998
2.3531,2604
2.3824,2217
2.4118,1673
2.4412,1206
2.4705,896
2.4999,690
2.5293,522
2.5586,378
2.588,305
2.6174,242
2.6468,192
2.6761,131
2.7055,105
2.7349,78
2.7642,53
2.7936,40
2.823,21
2.8523,14
2.8817,9
2.9111,7
2.9404,5
