"bin_extents","bin_values"
-80.873,3
-79.23,0
-77.587,1
-75.944,0
-74.301,2
-72.659,7
-71.016,5
-69.373,0
-67.73,7
-66.088,10
-64.445,10
-62.802,15
-61.159,15
-59.516,36
-57.874,33
-56.231,42
-54.588,58
-52.945,62
-51.302,92
-49.66,112
-48.017,137
-46.374,159
-44.731,205
-43.089,249
-41.446,297
-39.803,378
-38.16,439
-36.517,587
-34.875,686
-33.232,901
-31.589,1144
-29.946,1352
-28.304,1875
-26.661,2333
-25.018,3121
-23.375,4026
-21.732,5280
-20.09,7207
-18.447,9359
-16.804,12569
-15.161,17223
-13.518,23355
-11.876,32369
-10.233,45891
-8.5901,67008
-6.9473,98364
-5.3045,142574
-3.6617,192253
-2.019,238693
-0.37618,262694
1.2666,233674
2.9094,178129
4.5522,130180
6.195,94274
7.8377,65843
9.4805,47233
11.123,33043
12.766,24128
14.409,17681
16.052,12869
17.694,9456
19.337,7072
20.98,4990
22.623,3736
24.266,2872
25.908,2211
27.551,1647
29.194,1394
30.837,1005
32.48,767
34.122,597
35.765,450
37.408,393
39.051,285
40.693,238
42.336,207
43.979,144
45.622,116
47.265,83
48.907,70
50.55,59
52.193,50
53.836,39
55.478,43
57.121,26
58.764,17
60.407,26
62.05,16
63.692,17
65.335,17
66.978,9
68.621,12
70.264,3
71.906,6
73.549,3
75.192,4
76.835,4
78.477,1
80.12,3
81.763,3
