"bin_extents","bin_values"
-110.03,1
-107.71,0
-105.4,0
-103.08,2
-100.76,0
-98.448,1
-96.131,1
-93.814,1
-91.497,3
-89.18,3
-86.863,8
-84.546,6
-82.23,8
-79.913,5
-77.596,9
-75.279,16
-72.962,28
-70.645,28
-68.329,20
-66.012,37
-63.695,44
-61.378,67
-59.061,96
-56.744,139
-54.428,165
-52.111,204
-49.794,270
-47.477,339
-45.16,442
-42.843,550
-40.527,732
-38.21,1015
-35.893,1318
-33.576,1792
-31.259,2328
-28.942,3182
-26.625,4441
-24.309,6013
-21.992,8436
-19.675,11722
-17.358,16542
-15.041,24732
-12.724,35998
-10.408,54845
-8.0907,87798
-5.7739,142449
-3.4571,235366
-1.1402,341549
1.1766,350496
3.4935,254813
5.8103,160464
8.1271,101876
10.444,64863
12.761,42117
15.078,28141
17.395,19230
19.711,12570
22.028,8472
24.345,5903
26.662,4203
28.979,3068
31.296,2255
33.612,1650
35.929,1325
38.246,953
40.563,757
42.88,587
45.197,408
47.513,347
49.83,239
52.147,197
54.464,145
56.781,110
59.098,86
61.414,62
63.731,47
66.048,31
68.365,34
70.682,24
72.999,18
75.316,22
77.632,24
79.949,12
82.266,16
84.583,8
86.9,14
89.217,12
91.533,6
93.85,3
96.167,3
98.484,4
100.8,3
103.12,5
105.43,0
107.75,2
110.07,3
112.38,1
114.7,1
117.02,1
119.34,1
