"bin_extents","bin_values"
-79.929,1
-77.771,1
-75.614,2
-73.456,2
-71.299,3
-69.141,6
-66.984,17
-64.826,14
-62.669,26
-60.511,43
-58.354,41
-56.196,63
-54.039,84
-51.881,135
-49.724,188
-47.566,258
-45.409,356
-43.251,443
-41.094,559
-38.936,794
-36.779,915
-34.621,1245
-32.464,1685
-30.306,2196
-28.148,2962
-25.991,3762
-23.833,5398
-21.676,7437
-19.518,10772
-17.361,15892
-15.203,23020
-13.046,34186
-10.888,53614
-8.731,86768
-6.5735,142098
-4.416,218071
-2.2584,298701
-0.10094,331658
2.0566,266912
4.2141,182890
6.3716,120533
8.5291,78899
10.687,51569
12.844,33666
15.002,21675
17.159,14671
19.317,10011
21.474,6944
23.632,4800
25.789,3328
27.947,2381
30.104,1678
32.262,1293
34.419,925
36.577,653
38.734,522
40.892,355
43.049,284
45.207,225
47.364,139
49.522,121
51.679,87
53.837,62
55.994,60
58.152,45
60.309,43
62.467,30
64.624,26
66.782,22
68.939,15
71.097,11
73.254,14
75.412,11
77.569,14
79.727,9
81.884,8
84.042,3
86.199,2
88.357,3
90.514,0
92.672,3
94.829,2
96.987,0
99.144,5
101.3,0
103.46,3
105.62,2
107.77,0
109.93,0
112.09,3
114.25,1
116.4,2
118.56,3
120.72,0
122.88,0
125.03,0
127.19,0
129.35,1
131.51,1
133.66,2
