"bin_extents","bin_values"
0.017965,4
0.044903,37
0.071841,80
0.098779,176
0.12572,234
0.15266,349
0.17959,469
0.20653,694
0.23347,949
0.26041,1115
0.28735,1300
0.31428,1566
0.34122,1909
0.36816,2075
0.3951,2370
0.42204,2748
0.44897,3290
0.47591,3963
0.50285,4620
0.52979,5269
0.55673,6109
0.58367,6866
0.6106,7732
0.63754,8907
0.66448,9621
0.69142,10836
0.71836,11849
0.74529,12879
0.77223,13839
0.79917,14438
0.82611,15110
0.85305,15988
0.87998,16399
0.90692,16873
0.93386,17770
0.9608,19192
0.98774,20479
1.0147,21371
1.0416,21718
1.0686,22584
1.0955,24053
1.1224,25979
1.1494,27949
1.1763,29941
1.2032,32221
1.2302,35530
1.2571,37344
1.2841,40151
1.311,42927
1.3379,44539
1.3649,48177
1.3918,50663
1.4187,54060
1.4457,58119
1.4726,61864
1.4996,65053
1.5265,67907
1.5534,69139
1.5804,69078
1.6073,69032
1.6343,68120
1.6612,66260
1.6881,62622
1.7151,58650
1.742,56443
1.7689,54898
1.7959,53065
1.8228,49783
1.8498,45654
1.8767,42476
1.9036,38443
1.9306,35023
1.9575,30761
1.9844,26463
2.0114,22698
2.0383,19315
2.0653,16554
2.0922,13645
2.1191,11150
2.1461,9064
2.173,7856
2.2,6323
2.2269,4884
2.2538,3956
2.2808,3067
2.3077,2620
2.3346,2200
2.3616,1818
2.3885,1370
2.4155,1186
2.4424,918
2.4693,738
2.4963,581
2.5232,408
2.5501,245
2.5771,180
2.604,124
2.631,57
2.6579,26
2.6848,5
