"bin_extents","bin_values"
-60.218,1
-59.174,0
-58.129,3
-57.085,1
-56.04,3
-54.995,4
-53.951,4
-52.906,11
-51.862,8
-50.817,13
-49.773,11
-48.728,19
-47.683,13
-46.639,33
-45.594,20
-44.55,29
-43.505,31
-42.461,32
-41.416,57
-40.372,47
-39.327,51
-38.282,65
-37.238,111
-36.193,120
-35.149,140
-34.104,162
-33.06,241
-32.015,259
-30.97,334
-29.926,352
-28.881,431
-27.837,533
-26.792,660
-25.748,864
-24.703,1011
-23.658,1196
-22.614,1456
-21.569,1819
-20.525,2273
-19.48,2725
-18.436,3388
-17.391,4107
-16.347,5177
-15.302,6370
-14.257,7961
-13.213,10137
-12.168,12630
-11.124,16222
-10.079,20916
-9.0345,26709
-7.99,34459
-6.9454,43842
-5.9008,55486
-4.8563,70067
-3.8117,90320
-2.7671,114401
-1.7226,137785
-0.67802,161044
0.36655,177626
1.4111,186534
2.4557,176966
3.5002,154861
4.5448,128137
5.5894,98905
6.6339,74619
7.6785,55517
8.7231,40793
9.7676,30226
10.812,21909
11.857,16446
12.901,12409
13.946,9118
14.99,6967
16.035,5249
17.08,3858
18.124,2951
19.169,2292
20.213,1708
21.258,1282
22.302,902
23.347,713
24.392,535
25.436,434
26.481,357
27.525,254
28.57,182
29.614,124
30.659,106
31.704,76
32.748,39
33.793,32
34.837,34
35.882,24
36.926,11
37.971,7
39.015,7
40.06,4
41.105,3
42.149,1
43.194,1
