"bin_extents","bin_values"
-58.936,1
-57.837,4
-56.738,5
-55.639,3
-54.54,3
-53.441,4
-52.342,5
-51.243,4
-50.145,4
-49.046,3
-47.947,7
-46.848,4
-45.749,9
-44.65,8
-43.551,18
-42.452,16
-41.353,22
-40.254,18
-39.155,30
-38.057,29
-36.958,32
-35.859,30
-34.76,50
-33.661,67
-32.562,85
-31.463,104
-30.364,132
-29.265,168
-28.166,255
-27.067,328
-25.969,384
-24.87,435
-23.771,621
-22.672,863
-21.573,1127
-20.474,1443
-19.375,1815
-18.276,2359
-17.177,3074
-16.078,4130
-14.979,5476
-13.881,7322
-12.782,9392
-11.683,12505
-10.584,16611
-9.4849,22419
-8.386,29649
-7.2871,39688
-6.1882,53146
-5.0893,70332
-3.9903,93554
-2.8914,122023
-1.7925,154578
-0.69361,188650
0.4053,213319
1.5042,217659
2.6031,196094
3.702,161266
4.8009,124415
5.8998,92128
6.9988,64759
8.0977,43645
9.1966,29427
10.295,19530
11.394,13341
12.493,9078
13.592,6215
14.691,4236
15.79,2902
16.889,2032
17.988,1456
19.087,1053
20.186,747
21.285,561
22.383,444
23.482,284
24.581,220
25.68,174
26.779,102
27.878,71
28.977,47
30.076,55
31.175,18
32.274,17
33.373,17
34.471,6
35.57,2
36.669,5
37.768,2
38.867,3
39.966,1
41.065,2
42.164,1
43.263,1
44.362,0
45.461,1
46.56,0
47.658,1
48.757,0
49.856,2
