"bin_extents","bin_values"
-63.652,1
-62.571,2
-61.489,2
-60.408,3
-59.326,3
-58.245,2
-57.163,3
-56.081,6
-55,2
-53.918,3
-52.837,7
-51.755,12
-50.674,15
-49.592,13
-48.511,17
-47.429,15
-46.348,22
-45.266,30
-44.184,32
-43.103,30
-42.021,46
-40.94,29
-39.858,53
-38.777,80
-37.695,93
-36.614,110
-35.532,131
-34.451,141
-33.369,203
-32.287,245
-31.206,293
-30.124,357
-29.043,467
-27.961,509
-26.88,618
-25.798,731
-24.717,957
-23.635,1116
-22.553,1404
-21.472,1857
-20.39,2308
-19.309,2845
-18.227,3566
-17.146,4197
-16.064,5549
-14.983,6805
-13.901,8612
-12.82,11104
-11.738,14244
-10.656,18605
-9.5749,24086
-8.4934,31169
-7.4118,40367
-6.3303,51971
-5.2487,66637
-4.1672,85937
-3.0856,111474
-2.0041,137288
-0.92254,163275
0.15901,183928
1.2406,195045
2.3221,187975
3.4037,164188
4.4852,133944
5.5667,101911
6.6483,76118
7.7298,55563
8.8114,40030
9.8929,28747
10.974,21188
12.056,15510
13.138,11234
14.219,8365
15.301,6310
16.382,4834
17.464,3527
18.545,2634
19.627,2009
20.708,1457
21.79,1098
22.872,784
23.953,617
25.035,432
26.116,326
27.198,244
28.279,203
29.361,159
30.442,91
31.524,76
32.605,49
33.687,37
34.769,17
35.85,10
36.932,7
38.013,7
39.095,2
40.176,4
41.258,1
42.339,1
43.421,2
