"bin_extents","bin_values"
-87.691,2
-85.699,0
-83.706,0
-81.714,2
-79.722,4
-77.73,7
-75.738,13
-73.746,11
-71.753,11
-69.761,10
-67.769,24
-65.777,22
-63.785,27
-61.793,28
-59.8,34
-57.808,47
-55.816,46
-53.824,85
-51.832,110
-49.84,125
-47.848,148
-45.855,203
-43.863,234
-41.871,318
-39.879,432
-37.887,569
-35.895,739
-33.902,989
-31.91,1244
-29.918,1643
-27.926,2271
-25.934,3060
-23.942,4058
-21.949,5522
-19.957,7764
-17.965,10609
-15.973,14896
-13.981,21558
-11.989,31020
-9.9964,47150
-8.0043,73478
-6.0121,118105
-4.02,184867
-2.0278,271494
-0.035643,323921
1.9565,292263
3.9487,207819
5.9408,137394
7.933,89996
9.9252,60645
11.917,40046
13.909,26912
15.902,18876
17.894,13022
19.886,9126
21.878,6554
23.87,4679
25.862,3437
27.855,2513
29.847,1954
31.839,1365
33.831,1006
35.823,808
37.815,607
39.808,499
41.8,362
43.792,306
45.784,269
47.776,161
49.768,155
51.761,123
53.753,113
55.745,89
57.737,54
59.729,51
61.721,45
63.714,31
65.706,35
67.698,17
69.69,26
71.682,17
73.674,15
75.666,15
77.659,18
79.651,5
81.643,10
83.635,6
85.627,6
87.619,7
89.612,3
91.604,2
93.596,2
95.588,2
97.58,3
99.572,4
101.56,3
103.56,1
105.55,2
107.54,1
109.53,3
