"bin_extents","bin_values"
0.037982,33
0.065172,79
0.092362,123
0.11955,229
0.14674,356
0.17393,474
0.20112,622
0.22831,857
0.2555,1131
0.28269,1321
0.30988,1657
0.33707,1836
0.36426,2167
0.39145,2313
0.41864,2803
0.44583,3363
0.47302,3920
0.50021,4559
0.5274,5504
0.55459,6296
0.58178,7121
0.60898,8100
0.63617,9262
0.66336,9803
0.69055,11169
0.71774,12302
0.74493,13481
0.77212,14089
0.79931,14448
0.8265,15730
0.85369,16440
0.88088,17371
0.90807,17843
0.93526,18793
0.96245,20457
0.98964,21452
1.0168,22649
1.044,23403
1.0712,24050
1.0984,25555
1.1256,27278
1.1528,29552
1.18,31072
1.2072,33252
1.2343,36760
1.2615,39154
1.2887,41934
1.3159,44252
1.3431,47000
1.3703,49491
1.3975,52056
1.4247,55317
1.4519,58477
1.4791,62348
1.5062,65164
1.5334,67767
1.5606,67948
1.5878,67823
1.615,67525
1.6422,65989
1.6694,64170
1.6966,62130
1.7238,57896
1.751,55476
1.7782,53915
1.8053,51503
1.8325,47882
1.8597,43849
1.8869,39990
1.9141,36898
1.9413,33678
1.9685,29235
1.9957,25354
2.0229,21639
2.0501,18477
2.0772,15443
2.1044,12337
2.1316,9912
2.1588,8333
2.186,6986
2.2132,5749
2.2404,4516
2.2676,3577
2.2948,2825
2.322,2454
2.3491,2104
2.3763,1865
2.4035,1406
2.4307,1116
2.4579,945
2.4851,726
2.5123,502
2.5395,336
2.5667,237
2.5939,177
2.621,105
2.6482,60
2.6754,26
2.7026,2
2.7298,1
