"bin_extents","bin_values"
-98.133,2
-95.876,0
-93.619,3
-91.362,1
-89.106,1
-86.849,3
-84.592,3
-82.336,1
-80.079,4
-77.822,6
-75.565,5
-73.309,9
-71.052,20
-68.795,21
-66.539,38
-64.282,46
-62.025,68
-59.768,77
-57.512,101
-55.255,136
-52.998,194
-50.741,204
-48.485,284
-46.228,344
-43.971,446
-41.715,513
-39.458,776
-37.201,959
-34.944,1317
-32.688,1738
-30.431,2258
-28.174,3179
-25.917,4474
-23.661,6110
-21.404,8518
-19.147,11759
-16.891,17221
-14.634,24506
-12.377,36155
-10.12,55967
-7.8637,88789
-5.6069,143594
-3.3502,237236
-1.0935,337925
1.1632,345283
3.42,251487
5.6767,160689
7.9334,103015
10.19,65655
12.447,43064
14.704,28606
16.96,19611
19.217,13208
21.474,8732
23.73,6099
25.987,4442
28.244,3262
30.501,2401
32.757,1830
35.014,1405
37.271,1087
39.528,851
41.784,582
44.041,471
46.298,387
48.554,283
50.811,218
53.068,165
55.325,113
57.581,80
59.838,46
62.095,44
64.352,37
66.608,32
68.865,36
71.122,16
73.378,12
75.635,11
77.892,17
80.149,15
82.405,13
84.662,10
86.919,5
89.176,4
91.432,6
93.689,7
95.946,8
98.202,3
100.46,1
102.72,4
104.97,3
107.23,0
109.49,6
111.74,3
114,3
116.26,1
118.51,1
120.77,1
123.03,0
125.28,1
