"bin_extents","bin_values"
0.020663,7
0.048433,38
0.076203,99
0.10397,183
0.13174,286
0.15951,461
0.18728,638
0.21506,740
0.24283,927
0.2706,1253
0.29837,1611
0.32614,1892
0.35391,2109
0.38168,2404
0.40945,2806
0.43722,3441
0.46499,3990
0.49276,4666
0.52053,5483
0.5483,6502
0.57607,7397
0.60384,8059
0.63161,9361
0.65938,10129
0.68715,11656
0.71492,12816
0.74269,13939
0.77046,14375
0.79823,15228
0.826,16340
0.85377,17464
0.88154,18547
0.90931,19192
0.93708,20265
0.96486,21485
0.99263,22752
1.0204,24033
1.0482,25232
1.0759,26103
1.1037,27699
1.1315,29328
1.1592,31352
1.187,33027
1.2148,35644
1.2426,38790
1.2703,42048
1.2981,44670
1.3259,46980
1.3536,49176
1.3814,51855
1.4092,54421
1.437,57845
1.4647,60863
1.4925,63861
1.5203,65946
1.548,67337
1.5758,67608
1.6036,66990
1.6313,66600
1.6591,64700
1.6869,63439
1.7147,60711
1.7424,57049
1.7702,54823
1.798,52314
1.8257,48423
1.8535,44776
1.8813,40540
1.909,37454
1.9368,34445
1.9646,30201
1.9924,26319
2.0201,22979
2.0479,18844
2.0757,15530
2.1034,12679
2.1312,10266
2.159,8641
2.1868,7084
2.2145,5894
2.2423,4783
2.2701,3702
2.2978,2956
2.3256,2445
2.3534,2237
2.3811,1934
2.4089,1548
2.4367,1261
2.4645,952
2.4922,677
2.52,524
2.5478,343
2.5755,252
2.6033,197
2.6311,128
2.6588,85
2.6866,39
2.7144,20
2.7422,6
2.7699,3
